company_name,company_desc,img_src
"SITO Mobile, Ltd.",Up-sized even-keeled workforce,http://dummyimage.com/200x200.png/ff4444/ffffff
"Nature's Sunshine Products, Inc.",Assimilated 5th generation knowledge base,http://dummyimage.com/200x200.png/cc0000/ffffff
"Ambac Financial Group, Inc.",Configurable high-level firmware,http://dummyimage.com/200x200.png/ff4444/ffffff
BlackRock Municipal Income Trust,Upgradable multi-state forecast,http://dummyimage.com/200x200.png/ff4444/ffffff
Tesoro Logistics LP,Organic static local area network,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Lehman ABS Corporation,Realigned foreground productivity,http://dummyimage.com/200x200.png/dddddd/000000
Immuron Limited,User-friendly 5th generation ability,http://dummyimage.com/200x200.png/ff4444/ffffff
iPath US Treasury 5-year Bull ETN,Organized bifurcated matrix,http://dummyimage.com/200x200.png/dddddd/000000
"ICU Medical, Inc.",Organic neutral complexity,http://dummyimage.com/200x200.png/dddddd/000000
Tonix Pharmaceuticals Holding Corp.,Synchronised solution-oriented hub,http://dummyimage.com/200x200.png/dddddd/000000
Vornado Realty Trust,Re-engineered radical toolset,http://dummyimage.com/200x200.png/cc0000/ffffff
NVIDIA Corporation,Operative directional matrix,http://dummyimage.com/200x200.png/cc0000/ffffff
JM Global Holding Company,Customizable encompassing open architecture,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Micron Technology, Inc.",Programmable logistical core,http://dummyimage.com/200x200.png/cc0000/ffffff
Yirendai Ltd.,Pre-emptive modular service-desk,http://dummyimage.com/200x200.png/cc0000/ffffff
Attunity Ltd.,Pre-emptive discrete groupware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Commerce Bancshares, Inc.",Robust dynamic time-frame,http://dummyimage.com/200x200.png/cc0000/ffffff
Legacy Reserves LP,Diverse 3rd generation policy,http://dummyimage.com/200x200.png/cc0000/ffffff
"Evertec, Inc.",Optional content-based extranet,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Emerson Electric Company,Extended analyzing monitoring,http://dummyimage.com/200x200.png/dddddd/000000
iRobot Corporation,Adaptive demand-driven time-frame,http://dummyimage.com/200x200.png/ff4444/ffffff
L.B. Foster Company,Profit-focused bandwidth-monitored interface,http://dummyimage.com/200x200.png/cc0000/ffffff
"Royce Global Value Trust, Inc.",Exclusive tertiary customer loyalty,http://dummyimage.com/200x200.png/cc0000/ffffff
"Tivity Health, Inc.",Focused motivating time-frame,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Potash Corporation of Saskatchewan Inc.,Switchable demand-driven parallelism,http://dummyimage.com/200x200.png/ff4444/ffffff
Shaw Communications Inc.,Configurable demand-driven adapter,http://dummyimage.com/200x200.png/dddddd/000000
"EOG Resources, Inc.",Synchronised empowering collaboration,http://dummyimage.com/200x200.png/5fa2dd/ffffff
First Trust Rising Dividend Achievers ETF,Multi-layered incremental database,http://dummyimage.com/200x200.png/5fa2dd/ffffff
BP p.l.c.,Networked incremental concept,http://dummyimage.com/200x200.png/ff4444/ffffff
"Cogint, Inc.",Fully-configurable cohesive focus group,http://dummyimage.com/200x200.png/ff4444/ffffff
"Primerica, Inc.",Managed dedicated artificial intelligence,http://dummyimage.com/200x200.png/cc0000/ffffff
Olin Corporation,Networked eco-centric service-desk,http://dummyimage.com/200x200.png/ff4444/ffffff
Ares Capital Corporation,Ameliorated user-facing open architecture,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Apollo Investment Corporation,Object-based system-worthy forecast,http://dummyimage.com/200x200.png/cc0000/ffffff
Biohaven Pharmaceutical Holding Company Ltd.,Profound composite orchestration,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Socket Mobile, Inc.",Team-oriented full-range matrices,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",Streamlined fresh-thinking focus group,http://dummyimage.com/200x200.png/dddddd/000000
Gladstone Investment Corporation,Team-oriented foreground success,http://dummyimage.com/200x200.png/cc0000/ffffff
Navistar International Corporation,Multi-layered upward-trending strategy,http://dummyimage.com/200x200.png/cc0000/ffffff
"The Michaels Companies, Inc.",Advanced 6th generation parallelism,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"D.R. Horton, Inc.",Total solution-oriented focus group,http://dummyimage.com/200x200.png/ff4444/ffffff
"Yatra Online, Inc.",Fully-configurable background interface,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Consolidated Edison Inc,Devolved well-modulated knowledge base,http://dummyimage.com/200x200.png/dddddd/000000
Biohaven Pharmaceutical Holding Company Ltd.,Face to face zero administration success,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"EQT Midstream Partners, LP",Focused hybrid instruction set,http://dummyimage.com/200x200.png/5fa2dd/ffffff
First Trust Managed Municipal ETF,Persistent high-level intranet,http://dummyimage.com/200x200.png/dddddd/000000
"Viveve Medical, Inc.",Robust impactful function,http://dummyimage.com/200x200.png/cc0000/ffffff
"CF Industries Holdings, Inc.",Robust client-server moratorium,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Cytori Therapeutics Inc,Self-enabling 4th generation alliance,http://dummyimage.com/200x200.png/ff4444/ffffff
Navigator Holdings Ltd.,Persevering fault-tolerant product,http://dummyimage.com/200x200.png/dddddd/000000
"Image Sensing Systems, Inc.",Diverse didactic Graphical User Interface,http://dummyimage.com/200x200.png/cc0000/ffffff
"Haynes International, Inc.",Ergonomic asymmetric moratorium,http://dummyimage.com/200x200.png/dddddd/000000
"Gray Television, Inc.",Future-proofed background neural-net,http://dummyimage.com/200x200.png/ff4444/ffffff
Nordic American Offshore Ltd,Fundamental zero administration middleware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Nuveen New York Municipal Value Fund, Inc.",Down-sized scalable secured line,http://dummyimage.com/200x200.png/dddddd/000000
BB&T Corporation,Reverse-engineered mobile system engine,http://dummyimage.com/200x200.png/cc0000/ffffff
WNS (Holdings) Limited,Assimilated executive structure,http://dummyimage.com/200x200.png/ff4444/ffffff
"Hanwha Q CELLS Co., Ltd. ",Adaptive multi-tasking website,http://dummyimage.com/200x200.png/cc0000/ffffff
BlackRock Resources,Triple-buffered solution-oriented process improvement,http://dummyimage.com/200x200.png/cc0000/ffffff
Helen of Troy Limited,Diverse dynamic circuit,http://dummyimage.com/200x200.png/dddddd/000000
Cathay General Bancorp,Grass-roots actuating flexibility,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Angie's List, Inc.",Seamless reciprocal hardware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
The Community Financial Corporation,Stand-alone bifurcated structure,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Olympic Steel, Inc.",Open-source heuristic internet solution,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Psychemedics Corporation,Switchable 4th generation pricing structure,http://dummyimage.com/200x200.png/cc0000/ffffff
"NI Holdings, Inc.",Innovative incremental service-desk,http://dummyimage.com/200x200.png/ff4444/ffffff
"Nautilus Group, Inc. (The)",Versatile holistic frame,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Stericycle, Inc.",Stand-alone multi-tasking attitude,http://dummyimage.com/200x200.png/ff4444/ffffff
American Woodmark Corporation,Object-based contextually-based migration,http://dummyimage.com/200x200.png/dddddd/000000
Hamilton Lane Incorporated,User-friendly eco-centric firmware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
TAT Technologies Ltd.,Diverse upward-trending productivity,http://dummyimage.com/200x200.png/ff4444/ffffff
Synaptics Incorporated,Implemented coherent attitude,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Expedia, Inc.",Reactive homogeneous extranet,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"The Dixie Group, Inc.",Synergized multi-state groupware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
ePlus inc.,Reactive stable architecture,http://dummyimage.com/200x200.png/ff4444/ffffff
Viacom Inc.,Total 24/7 forecast,http://dummyimage.com/200x200.png/dddddd/000000
"Sientra, Inc.",User-friendly multimedia adapter,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"MediciNova, Inc.",Ameliorated global hub,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Cheetah Mobile Inc.,Enhanced next generation adapter,http://dummyimage.com/200x200.png/cc0000/ffffff
Zosano Pharma Corporation,Versatile directional open system,http://dummyimage.com/200x200.png/ff4444/ffffff
"East West Bancorp, Inc.",Re-engineered intangible knowledge user,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Williams Companies, Inc. (The)",Public-key grid-enabled monitoring,http://dummyimage.com/200x200.png/cc0000/ffffff
BRT Apartments Corp.,Streamlined 5th generation portal,http://dummyimage.com/200x200.png/ff4444/ffffff
"Pure Storage, Inc. ",Re-engineered bottom-line hierarchy,http://dummyimage.com/200x200.png/dddddd/000000
"Laureate Education, Inc.",Exclusive user-facing help-desk,http://dummyimage.com/200x200.png/cc0000/ffffff
Medley Capital Corporation,Open-architected executive neural-net,http://dummyimage.com/200x200.png/dddddd/000000
CYREN Ltd.,Robust non-volatile framework,http://dummyimage.com/200x200.png/ff4444/ffffff
"Star Gas Partners, L.P.",Networked web-enabled functionalities,http://dummyimage.com/200x200.png/cc0000/ffffff
"BJ's Restaurants, Inc.",Distributed discrete Graphical User Interface,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Dynegy Inc.,Centralized tangible capability,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Canadian Imperial Bank of Commerce,Optional non-volatile task-force,http://dummyimage.com/200x200.png/dddddd/000000
Cooper Tire & Rubber Company,Fundamental client-server analyzer,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Shell Midstream Partners, L.P.",Organized even-keeled data-warehouse,http://dummyimage.com/200x200.png/ff4444/ffffff
"Popular, Inc.",Versatile neutral secured line,http://dummyimage.com/200x200.png/ff4444/ffffff
Pointer Telocation Ltd.,Realigned dynamic challenge,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Tempur Sealy International, Inc.",Managed impactful hardware,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Columbus McKinnon Corporation,Cross-group fresh-thinking approach,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Ethan Allen Interiors Inc.,Fully-configurable hybrid project,http://dummyimage.com/200x200.png/dddddd/000000
"First Midwest Bancorp, Inc.",Decentralized empowering ability,http://dummyimage.com/200x200.png/dddddd/000000
"Landcadia Holdings, Inc.",Horizontal real-time data-warehouse,http://dummyimage.com/200x200.png/ff4444/ffffff
ProShares UltraPro Short NASDAQ Biotechnology,Devolved hybrid initiative,http://dummyimage.com/200x200.png/ff4444/ffffff
Cemex S.A.B. de C.V.,Optimized interactive synergy,http://dummyimage.com/200x200.png/ff4444/ffffff
Cohen & Steers Reit and Preferred Income Fund Inc,Innovative motivating software,http://dummyimage.com/200x200.png/5fa2dd/ffffff
AllianzGI Diversified Income & Convertible Fund,Sharable incremental definition,http://dummyimage.com/200x200.png/cc0000/ffffff
Teradata Corporation,Customizable zero tolerance middleware,http://dummyimage.com/200x200.png/cc0000/ffffff
iShares S&P India Nifty 50 Index Fund,Multi-lateral needs-based array,http://dummyimage.com/200x200.png/ff4444/ffffff
Azul S.A.,Multi-tiered systematic hub,http://dummyimage.com/200x200.png/ff4444/ffffff
PartnerRe Ltd.,Cross-group cohesive process improvement,http://dummyimage.com/200x200.png/dddddd/000000
"WhiteHorse Finance, Inc.",Streamlined content-based implementation,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"CUI Global, Inc.",Realigned cohesive approach,http://dummyimage.com/200x200.png/dddddd/000000
"Hawthorn Bancshares, Inc.",Optional clear-thinking interface,http://dummyimage.com/200x200.png/cc0000/ffffff
First Trust Mid Cap Growth AlphaDEX Fund,Cross-group optimal implementation,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Danaher Corporation,Compatible national moderator,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"tronc, Inc.",User-friendly bottom-line policy,http://dummyimage.com/200x200.png/cc0000/ffffff
"BLACKROCK INTERNATIONAL, LTD.",Upgradable fault-tolerant function,http://dummyimage.com/200x200.png/cc0000/ffffff
"Overstock.com, Inc.",Exclusive bandwidth-monitored array,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"American Midstream Partners, LP",Streamlined homogeneous intranet,http://dummyimage.com/200x200.png/ff4444/ffffff
"Daktronics, Inc.",Enhanced interactive capability,http://dummyimage.com/200x200.png/ff4444/ffffff
CBO (Listing Market - NYSE - Networks A/E),Progressive tertiary flexibility,http://dummyimage.com/200x200.png/ff4444/ffffff
"Lantheus Holdings, Inc.",Phased hybrid forecast,http://dummyimage.com/200x200.png/ff4444/ffffff
Potbelly Corporation,Cloned multimedia budgetary management,http://dummyimage.com/200x200.png/dddddd/000000
Gazit-Globe Ltd.,Managed national toolset,http://dummyimage.com/200x200.png/cc0000/ffffff
Function(x) Inc.,Optional secondary migration,http://dummyimage.com/200x200.png/cc0000/ffffff
Brookfield Infrastructure Partners LP,Phased national contingency,http://dummyimage.com/200x200.png/dddddd/000000
"Premier Financial Bancorp, Inc.",Fundamental motivating attitude,http://dummyimage.com/200x200.png/dddddd/000000
"KAR Auction Services, Inc",Self-enabling upward-trending process improvement,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Egalet Corporation,Enhanced stable framework,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"American International Group, Inc.",Organized well-modulated parallelism,http://dummyimage.com/200x200.png/ff4444/ffffff
Capitol Acquisition Corp. III,Synergistic incremental extranet,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Gabelli Global Small and Mid Cap Value Trust (The),Inverse maximized data-warehouse,http://dummyimage.com/200x200.png/ff4444/ffffff
"Sun Bancorp, Inc.",Multi-channelled 24 hour flexibility,http://dummyimage.com/200x200.png/ff4444/ffffff
"Novavax, Inc.",Multi-layered foreground instruction set,http://dummyimage.com/200x200.png/cc0000/ffffff
"Bridge Bancorp, Inc.",Inverse fresh-thinking migration,http://dummyimage.com/200x200.png/cc0000/ffffff
Boulevard Acquisition Corp. II,Virtual 3rd generation workforce,http://dummyimage.com/200x200.png/cc0000/ffffff
"Independent Bank Group, Inc",Realigned demand-driven success,http://dummyimage.com/200x200.png/dddddd/000000
Nuveen AMT-Free Municipal Value Fund,Upgradable transitional neural-net,http://dummyimage.com/200x200.png/dddddd/000000
"Hawaiian Telcom Holdco, Inc.",Optional bi-directional initiative,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Titan Machinery Inc.,Fully-configurable directional strategy,http://dummyimage.com/200x200.png/ff4444/ffffff
Buenaventura Mining Company Inc.,Balanced zero defect Graphic Interface,http://dummyimage.com/200x200.png/dddddd/000000
"Soleno Therapeutics, Inc.",Innovative responsive utilisation,http://dummyimage.com/200x200.png/cc0000/ffffff
"Boston Properties, Inc.",Balanced encompassing flexibility,http://dummyimage.com/200x200.png/ff4444/ffffff
American Express Company,Total well-modulated moderator,http://dummyimage.com/200x200.png/dddddd/000000
Diageo plc,Programmable asynchronous functionalities,http://dummyimage.com/200x200.png/ff4444/ffffff
DCP Midstream LP,Re-engineered cohesive initiative,http://dummyimage.com/200x200.png/5fa2dd/ffffff
GDS Holdings Limited,Centralized tangible hardware,http://dummyimage.com/200x200.png/cc0000/ffffff
Sprint Corporation,User-friendly scalable service-desk,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Pepsico, Inc.",Centralized 3rd generation throughput,http://dummyimage.com/200x200.png/ff4444/ffffff
Eastman Kodak Company,Customizable non-volatile open architecture,http://dummyimage.com/200x200.png/cc0000/ffffff
Rowan Companies plc,Enhanced zero defect artificial intelligence,http://dummyimage.com/200x200.png/cc0000/ffffff
"Northwest Bancshares, Inc.",Diverse 5th generation project,http://dummyimage.com/200x200.png/cc0000/ffffff
"Celestica, Inc.",Networked stable open architecture,http://dummyimage.com/200x200.png/dddddd/000000
Avista Corporation,Operative 24 hour hub,http://dummyimage.com/200x200.png/cc0000/ffffff
SandRidge Mississippian Trust I,Multi-channelled holistic help-desk,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Evogene Ltd.,Diverse 24 hour knowledge base,http://dummyimage.com/200x200.png/cc0000/ffffff
Addus HomeCare Corporation,Re-engineered asymmetric standardization,http://dummyimage.com/200x200.png/ff4444/ffffff
Centrais Electricas Brasileiras S.A.- Eletrobras,Networked content-based success,http://dummyimage.com/200x200.png/cc0000/ffffff
"ABAXIS, Inc.",Networked optimal migration,http://dummyimage.com/200x200.png/dddddd/000000
Alpha and Omega Semiconductor Limited,Horizontal 3rd generation matrix,http://dummyimage.com/200x200.png/dddddd/000000
"KBR, Inc.",Upgradable systematic help-desk,http://dummyimage.com/200x200.png/ff4444/ffffff
"MabVax Therapeutics Holdings, Inc.",Multi-channelled tertiary architecture,http://dummyimage.com/200x200.png/cc0000/ffffff
Shaw Communications Inc.,Visionary optimizing middleware,http://dummyimage.com/200x200.png/cc0000/ffffff
"Biostage, Inc.",Assimilated eco-centric toolset,http://dummyimage.com/200x200.png/ff4444/ffffff
Oasis Petroleum Inc.,Expanded discrete flexibility,http://dummyimage.com/200x200.png/cc0000/ffffff
"Athenex, Inc.",Advanced demand-driven capacity,http://dummyimage.com/200x200.png/dddddd/000000
"Blackrock MuniHoldings Quality Fund, Inc.",Networked modular time-frame,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Acacia Research Corporation,Assimilated value-added superstructure,http://dummyimage.com/200x200.png/dddddd/000000
Liberty Interactive Corporation,Optional impactful local area network,http://dummyimage.com/200x200.png/dddddd/000000
Axis Capital Holdings Limited,Cross-group user-facing algorithm,http://dummyimage.com/200x200.png/ff4444/ffffff
"Washington Federal, Inc.",Synergistic real-time paradigm,http://dummyimage.com/200x200.png/cc0000/ffffff
First Trust Mega Cap AlphaDEX Fund,Synergized clear-thinking knowledge user,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Farmers & Merchants Bancorp, Inc.",Switchable foreground capacity,http://dummyimage.com/200x200.png/cc0000/ffffff
Harvest Capital Credit Corporation,Distributed leading edge knowledge base,http://dummyimage.com/200x200.png/dddddd/000000
Five Oaks Investment Corp.,Devolved intermediate circuit,http://dummyimage.com/200x200.png/cc0000/ffffff
Numerex Corp.,Operative object-oriented Graphic Interface,http://dummyimage.com/200x200.png/ff4444/ffffff
"MuleSoft, Inc.",Function-based modular conglomeration,http://dummyimage.com/200x200.png/ff4444/ffffff
ON Semiconductor Corporation,Diverse impactful product,http://dummyimage.com/200x200.png/ff4444/ffffff
"SI Financial Group, Inc.",Public-key demand-driven support,http://dummyimage.com/200x200.png/5fa2dd/ffffff
RenaissanceRe Holdings Ltd.,Business-focused directional function,http://dummyimage.com/200x200.png/dddddd/000000
FlexShares Disciplined Duration MBS Index Fund,Intuitive multi-tasking budgetary management,http://dummyimage.com/200x200.png/cc0000/ffffff
China Finance Online Co. Limited,Quality-focused cohesive hub,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Blackrock MuniEnhanced Fund, Inc.",Monitored incremental local area network,http://dummyimage.com/200x200.png/ff4444/ffffff
The RMR Group Inc.,Optional dedicated open architecture,http://dummyimage.com/200x200.png/ff4444/ffffff
"National Presto Industries, Inc.",Automated content-based structure,http://dummyimage.com/200x200.png/dddddd/000000
"TrueBlue, Inc.",Adaptive composite middleware,http://dummyimage.com/200x200.png/cc0000/ffffff
BB&T Corporation,Monitored dedicated hierarchy,http://dummyimage.com/200x200.png/ff4444/ffffff
ChromaDex Corporation,Secured optimal strategy,http://dummyimage.com/200x200.png/ff4444/ffffff
"Suburban Propane Partners, L.P.",Reduced well-modulated info-mediaries,http://dummyimage.com/200x200.png/5fa2dd/ffffff
General Motors Company,Seamless solution-oriented framework,http://dummyimage.com/200x200.png/cc0000/ffffff
Fifth Street Finance Corp.,Public-key next generation process improvement,http://dummyimage.com/200x200.png/ff4444/ffffff
Alere Inc.,Persevering multimedia flexibility,http://dummyimage.com/200x200.png/cc0000/ffffff
Janus Henderson SG Global Quality Income ETF,Innovative systemic knowledge user,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Mellanox Technologies, Ltd.",Total cohesive forecast,http://dummyimage.com/200x200.png/dddddd/000000
Grupo Financiero Santander Mexico S.A. B. de C.V.,Diverse needs-based adapter,http://dummyimage.com/200x200.png/5fa2dd/ffffff
ENDRA Life Sciences Inc.,Monitored exuding task-force,http://dummyimage.com/200x200.png/dddddd/000000
"Cullen/Frost Bankers, Inc.",Up-sized heuristic approach,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Engility Holdings, Inc.",De-engineered exuding approach,http://dummyimage.com/200x200.png/ff4444/ffffff
"Tarena International, Inc.",Open-architected bifurcated methodology,http://dummyimage.com/200x200.png/dddddd/000000
Amphenol Corporation,Advanced intangible circuit,http://dummyimage.com/200x200.png/cc0000/ffffff
"Patriot Transportation Holding, Inc.",Self-enabling 5th generation internet solution,http://dummyimage.com/200x200.png/ff4444/ffffff
"Dominion Energy, Inc.",Operative eco-centric project,http://dummyimage.com/200x200.png/ff4444/ffffff
WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,Team-oriented encompassing strategy,http://dummyimage.com/200x200.png/cc0000/ffffff
"Southwest Bancorp, Inc.",Upgradable contextually-based info-mediaries,http://dummyimage.com/200x200.png/cc0000/ffffff
"Del Taco Restaurants, Inc.",Profit-focused encompassing capability,http://dummyimage.com/200x200.png/5fa2dd/ffffff
LSI Industries Inc.,Total clear-thinking encryption,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Ingredion Incorporated,Exclusive bottom-line flexibility,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Impinj, Inc.",De-engineered multi-tasking instruction set,http://dummyimage.com/200x200.png/dddddd/000000
Euronav NV,Re-engineered exuding methodology,http://dummyimage.com/200x200.png/dddddd/000000
iShares MSCI Europe Small-Cap ETF,Reverse-engineered exuding matrix,http://dummyimage.com/200x200.png/cc0000/ffffff
AGCO Corporation,User-friendly foreground moratorium,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Eagle Bancorp, Inc.",Persevering directional contingency,http://dummyimage.com/200x200.png/ff4444/ffffff
Strongbridge Biopharma plc,Public-key mobile leverage,http://dummyimage.com/200x200.png/ff4444/ffffff
"Yum China Holdings, Inc.",Cross-group mobile emulation,http://dummyimage.com/200x200.png/dddddd/000000
"West Pharmaceutical Services, Inc.",Triple-buffered upward-trending help-desk,http://dummyimage.com/200x200.png/cc0000/ffffff
Two Harbors Investments Corp,Vision-oriented systemic migration,http://dummyimage.com/200x200.png/dddddd/000000
"VIVUS, Inc.",Optimized 24/7 core,http://dummyimage.com/200x200.png/cc0000/ffffff
Five Oaks Investment Corp.,Balanced content-based matrix,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Almost Family Inc,Vision-oriented dynamic challenge,http://dummyimage.com/200x200.png/ff4444/ffffff
Timken Company (The),Intuitive cohesive moderator,http://dummyimage.com/200x200.png/ff4444/ffffff
"SuperCom, Ltd.",Cross-platform heuristic contingency,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"RCI Hospitality Holdings, Inc.",Re-contextualized uniform algorithm,http://dummyimage.com/200x200.png/cc0000/ffffff
"One Horizon Group, Inc.",Persevering human-resource matrices,http://dummyimage.com/200x200.png/dddddd/000000
First Commonwealth Financial Corporation,Managed asynchronous analyzer,http://dummyimage.com/200x200.png/5fa2dd/ffffff
American Equity Investment Life Holding Company,Profound uniform infrastructure,http://dummyimage.com/200x200.png/cc0000/ffffff
Gabelli Multi-Media Trust Inc. (The),Exclusive contextually-based interface,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Colfax Corporation,Open-architected maximized process improvement,http://dummyimage.com/200x200.png/ff4444/ffffff
"Cytokinetics, Incorporated",Face to face neutral migration,http://dummyimage.com/200x200.png/ff4444/ffffff
PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,Expanded eco-centric matrices,http://dummyimage.com/200x200.png/dddddd/000000
8x8 Inc,Upgradable zero administration encoding,http://dummyimage.com/200x200.png/ff4444/ffffff
Allstate Corporation (The),Innovative zero defect workforce,http://dummyimage.com/200x200.png/dddddd/000000
Brookfield Real Assets Income Fund Inc.,Fundamental methodical leverage,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Apollo Global Management, LLC",Cross-group high-level encoding,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Federated Premier Intermediate Municipal Income Fund,Ameliorated transitional data-warehouse,http://dummyimage.com/200x200.png/5fa2dd/ffffff
Centene Corporation,Switchable methodical conglomeration,http://dummyimage.com/200x200.png/5fa2dd/ffffff
First Trust Emerging Markets AlphaDEX Fund,Exclusive asynchronous moratorium,http://dummyimage.com/200x200.png/dddddd/000000
Andina Acquisition Corp. II,Upgradable well-modulated utilisation,http://dummyimage.com/200x200.png/cc0000/ffffff
TCP Capital Corp.,Assimilated next generation algorithm,http://dummyimage.com/200x200.png/dddddd/000000
The Spectranetics Corporation,Automated human-resource implementation,http://dummyimage.com/200x200.png/5fa2dd/ffffff
"Vermillion, Inc.",Extended static methodology,http://dummyimage.com/200x200.png/dddddd/000000
Check Point Software Technologies Ltd.,Profit-focused clear-thinking utilisation,http://dummyimage.com/200x200.png/dddddd/000000
